GID_0,COUNTRY,GID_1,NAME_1,isoweek,year,,cumulative_cases,file_name,notes,notes
NGA,Nigeria,NGA.29_1,Ondo,48,2023,,2,An Update of Diphtheria Outbreak in Nigeria_231123_48.pdf,,
NGA,Nigeria,NGA.31_1,Oyo,48,2023,,13,An Update of Diphtheria Outbreak in Nigeria_231123_48.pdf,,
NGA,Nigeria,NGA.33_1,Rivers,48,2023,,2,An Update of Diphtheria Outbreak in Nigeria_231123_48.pdf,,
NGA,Nigeria,NGA.20_1,Kano,51,2023,,14126,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,51,2023,,2238,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.21_1,Katsina,51,2023,,1734,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.5_1,Bauchi,51,2023,,1376,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.8_1,Borno,51,2023,,1148,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.19_1,Kaduna,51,2023,,573,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.18_1,Jigawa,51,2023,,256,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.37_1,Zamfara,51,2023,,152,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.16_1,Gombe,51,2023,,136,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.15_1,Federal Capital Territory,51,2023,,127,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.35_1,Taraba,51,2023,,90,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.32_1,Plateau,51,2023,,66,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.22_1,Kebbi,51,2023,,46,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.34_1,Sokoto,51,2023,,41,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.25_1,Lagos,51,2023,,37,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.23_1,Kogi,51,2023,,36,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.30_1,Osun,51,2023,,16,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.6_1,Bayelsa,51,2023,,15,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.31_1,Oyo,51,2023,,13,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.14_1,Enugu,51,2023,,12,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.27_1,Niger,51,2023,,11,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.13_1,Ekiti,51,2023,,10,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.17_1,Imo,51,2023,,9,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.26_1,Nasarawa,51,2023,,7,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.1_1,Abia,51,2023,,3,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.10_1,Delta,51,2023,,2,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.12_1,Edo,51,2023,,2,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.29_1,Ondo,51,2023,,2,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.33_1,Rivers,51,2023,,2,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.2_1,Adamawa,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.3_1,Akwa Ibom,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.4_1,Anambra,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.9_1,Cross River,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.24_1,Kwara,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.31_1,Oyo,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
NGA,Nigeria,NGA.28_1,Ogun,51,2023,,1,An Update of Diphtheria Outbreak in Nigeria_141223_51.pdf,,
GIN,Guinea,GIN.4_1,Kankan,34,2023,,117,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 27 August 2023, 117 suspected cases have been reported, including seven confirmed cases, all of whom have died. A total of 37 deaths have been recorded and 189 active contacts are being followed up. Of the reported cases, 59% are female. The 1-4 years age group is the most affected with 60 cases (51.3%). Siguiri District has reported the highest number of cases (100 cases, 85.5%).",
NER,Niger,NER.8_1,Zinder,35,2023,,327,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 25 August, 327 cases have been reported, including eight deaths (case fatality rate 2.4%). To date, 11 health areas have been affected, including Kantché and Amsoudou, with 83.8% (274/327) and 7.3% (24/327) of reported cases, respectively.",
NER,Niger,NER.8_1,Zinder,36,2023,,665,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 11 September 2023, a total of 665 suspected cases, including 30 deaths (CFR) were reported from 12 health districts. Four districts are currently in outbreak mode. 496 over 665 recovered from the disease and 139 are under treatment. Public health response activities are ongoing in affected districts.",
NER,Niger,NER.8_1,Zinder,40,2023,,865,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 24 September 2023, a total of 865 suspected cases, including 37 deaths (CFR:4.3) were reported from 14 health districts. Six districts are currently in outbreak mode. Public health response activities are ongoing in affected districts.",
NER,Niger,NER.8_1,Zinder,41,2023,,1518,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 30 September 2023, a total of 1518 suspected cases, including 104 deaths (CFR:5.7) were reported from 10 health districts. Public health response activities are ongoing in affected districts. ",
GIN,Guinea,GIN.4_1,Kankan,41,2023,,456,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 4 October 2023, 456 suspected cases have been reported, including 14 confirmed cases. A total of 57 deaths have been recorded. Of the reported cases, 59% are female. The 1-4 years age group is the most affected with 365 cases. Siguiri District has reported the highest number of cases (429 cases, 94 %). ",
NER,Niger,NER.8_1,Zinder,42,2023,,1690,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 23 October 2023, a total of 1690 suspected cases, including 75 deaths (CFR:4.4) were reported from 20 health districts. Public health response activities are ongoing in affected districts. ",
MRT,Mauritania,MRT.7_1,Hodh ech Chargui,42,2023,,8,,"On 19 October 2023, the Mauritanian Ministry of Health reported suspected cases of diphtheria. The first case had onset of symptoms on 8 October 2023. A total of eight suspected cases, including four deaths, have been reported as of 29 October 2023. ",
ZAF,South Africa,ZAF.9_1,Western Cape,44,2023,,15,,"On 9 November 2023, health authorities of South Africa declared diphtheria outbreak at the Pollsmoor Correctional Centre in the Western Cape Province following a confirmation through culture laboratory testing on 2 November of the disease in a 19-year-old male inmate who died on 5 November 2023. Investigations detected 55 inmates as close contacts. Of them, eight were positive. Two staff members displayed symptoms compatible with diphtheria and have received treatment whilst waiting for their laboratory test results. Cumulatively, 11 cases including nine confirmed and one death are reported so far from this Correctional Centre as of 8 November 2023. ",
NER,Niger,NER.8_1,Zinder,47,2023,,2346,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 26 November 2023, a total of 2346 suspected cases, including 128 deaths (CFR:5.5) were reported. Public health response activities are ongoing in affected districts. ",
CMR,Cameroon,CMR.2_1,Centre,49,2023,,1,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 4 October 2023, 456 suspected cases have been reported, including 14 confirmed cases. A total of 57 deaths have been recorded. Of the reported cases, 59% are female. The 1-4 years age group is the most affected with 365 cases. Siguiri District has reported the highest number of cases (429 cases, 94 %). ",
CMR,Cameroon,CMR.10_1,Sud,2,2024,,1,,"On 23 January 2024, Cameroon reported a confirmed case of Diphtheria. The affected individual is a 9-year-old male from Bitam Health District in Gabon. The onset of symptoms occurred on 1 December 2023, and he sought medical consultation on 3 December 2023 in the Enongal health area, Ebolowa health district in Cameroon. The person died on 7 December 2023. The sample tested positive for Diphtheria on 23 January 2024. Furthermore, there is another suspected case of Diphtheria of a 7-year-old male who experienced symptoms beginning on 2 November 2023 and succumbed to the illness on 29 November 2023. However, no confirmatory laboratory test for Diphtheria was conducted for this case. ",
NER,Niger,NER.8_1,Zinder,3,2024,,2721,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 24 December 2023, 2721 suspected cases, including 141 deaths (CFR 5.5%) were reported. Public health response activities are ongoing in affected districts. ",
GIN,Guinea,GIN.4_1,Kankan,2,2024,,2173,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",
GIN,Guinea,GIN.3_1,Faranah,2,2024,,10,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",
GIN,Guinea,GIN.6_1,Labé,2,2024,,10,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",
GIN,Guinea,GIN.7_1,Mamou,2,2024,,30,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",
GIN,Guinea,GIN.2_1,Conakry,2,2024,,10,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",
GIN,Guinea,GIN.8_1,Nzérékoré,2,2024,,7,,"An outbreak of diphtheria has been reported in the Kankan region of Guinea since 4 July 2023. As of 31 December 2023, 2 240 suspected cases had been reported from the Kankan, Faranah, Labé, Mamou, Conakry and N'Nzérékoré regions, including 2 081 confirmed cases and 85 deaths. Of the confirmed cases, 42 were laboratory-confirmed, 1 945 were clinically compatible and 94 were epidemiologically linked. The Siguiri health district in the Kankan region is the epicenter of the outbreak, with 97% of suspected cases reported. ",not exact count
GAB,Gabon,GAB.9_1,Wouleu-Ntem,3,2024,,1,,"On 23 January 2024, Cameroon reported a confirmed case of Diphtheria. The affected individual is a 9-year-old male from Bitam Health District in Gabon. The onset of symptoms occurred on 1 December 2023, and he sought medical consultation on 3 December 2023 in the Enongal health area, Ebolowa health district in Cameroon. The person died on 7 December 2023. The sample tested positive for Diphtheria on 23 January 2024. ",
NER,Niger,NER.8_1,Zinder,12,2024,,3536,,"An outbreak of diphtheria has been confirmed in Matameye health district, Zinder region. The first case was reported on 17 July 2023. As of 25 February 2024, 3536 suspected cases, including 174 deaths (CFR 4.9 %) were reported. Public health response activities are ongoing in affected districts. ",